title,start,end,assignedDoctors,assignedNurses,shift,description,createdBy,rating
Morning Shift - 2025-05-04,2025-05-04T08:00:00,2025-05-04T16:00:00,67cf4b3435b8ba51b0af1282|681a8935d13b7e8433e574a1,681e689ad464b5ea6ad94227|681a5ad29042278818317702|67f4402f89b1fc291c612c97,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.51
Morning Shift - 2025-05-13,2025-05-13T08:00:00,2025-05-13T16:00:00,681a577590422788183176a6|67f43ff589b1fc291c612c8b,67ff8a6715b50eb09c14b762|681e68b5d464b5ea6ad9422d,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.82
Morning Shift - 2025-05-19,2025-05-19T08:00:00,2025-05-19T16:00:00,681a8935d13b7e8433e574a1,681a5ad29042278818317702,Morning,Auto-generated event for training,67c6383e777903bd129b7eef,1.93
Morning Shift - 2025-05-14,2025-05-14T08:00:00,2025-05-14T16:00:00,681a515d90a1818ffb8fd38e,67ff8a6715b50eb09c14b762|681a5ad29042278818317702|681e6907d464b5ea6ad94241,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,3.7
Night Shift - 2025-05-10,2025-05-10T00:00:00,2025-05-10T08:00:00,67f43ff589b1fc291c612c8b|681a57199042278818317694|67cf4b3435b8ba51b0af1282,681e697bd464b5ea6ad94272|67ff8a6715b50eb09c14b762|681e68edd464b5ea6ad9423b,Night,Auto-generated event for training,67c6383e777903bd129b7eef,4.19
Evening Shift - 2025-05-12,2025-05-12T16:00:00,2025-05-13T00:00:00,681a57199042278818317694,681e69a9d464b5ea6ad9427c,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,1.71
Night Shift - 2025-05-07,2025-05-07T00:00:00,2025-05-07T08:00:00,681a524690a1818ffb8fd3a4,67f4401489b1fc291c612c91|681a590590422788183176dc|681e697bd464b5ea6ad94272,Night,Auto-generated event for training,67c6383e777903bd129b7eef,2.85
Morning Shift - 2025-05-21,2025-05-21T08:00:00,2025-05-21T16:00:00,681a58b990422788183176ce,67cf4b8235b8ba51b0af1285|681e6930d464b5ea6ad94260|681e69d3d464b5ea6ad9429b,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,3.02
Night Shift - 2025-05-06,2025-05-06T00:00:00,2025-05-06T08:00:00,681a58cd90422788183176d4|67cf4b3435b8ba51b0af1282,681e6946d464b5ea6ad94266,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,4.91
Evening Shift - 2025-05-23,2025-05-23T16:00:00,2025-05-24T00:00:00,681a57fd90422788183176be|681a517490a1818ffb8fd392|681a524690a1818ffb8fd3a4,67ff8a6715b50eb09c14b762|67cf4b8235b8ba51b0af1285|67ff7b8b42fc75d02c937309,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,1.26
Evening Shift - 2025-05-19,2025-05-19T16:00:00,2025-05-20T00:00:00,681a577590422788183176a6|67f43ff589b1fc291c612c8b,681a5ad29042278818317702|681e6930d464b5ea6ad94260,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,4.01
Evening Shift - 2025-05-20,2025-05-20T16:00:00,2025-05-21T00:00:00,681a57e490422788183176b8,681e6930d464b5ea6ad94260|681a5ad29042278818317702,Evening,Auto-generated event for training,67c6383e777903bd129b7eef,1.34
Morning Shift - 2025-05-18,2025-05-18T08:00:00,2025-05-18T16:00:00,681a57e490422788183176b8|67f43cf889b1fc291c612c53,67f4401489b1fc291c612c91,Morning,Auto-generated event for training,67c6383e777903bd129b7eef,4.17
Evening Shift - 2025-05-19,2025-05-19T16:00:00,2025-05-20T00:00:00,681a57e490422788183176b8|681a57199042278818317694|67f4546589b1fc291c613160,67ff8a6715b50eb09c14b762,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,3.75
Evening Shift - 2025-05-13,2025-05-13T16:00:00,2025-05-14T00:00:00,681a8978d13b7e8433e574a9|681a577590422788183176a6,681e68cbd464b5ea6ad94233|681e6994d464b5ea6ad94276,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,4.6
Night Shift - 2025-05-26,2025-05-26T00:00:00,2025-05-26T08:00:00,681a577590422788183176a6,681e689ad464b5ea6ad94227,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,4.98
Evening Shift - 2025-05-05,2025-05-05T16:00:00,2025-05-06T00:00:00,681a57199042278818317694|681a8978d13b7e8433e574a9|681a58cd90422788183176d4,681e689ad464b5ea6ad94227|681e68edd464b5ea6ad9423b,Evening,Auto-generated event for training,67c6383e777903bd129b7eef,1.12
Evening Shift - 2025-05-10,2025-05-10T16:00:00,2025-05-11T00:00:00,681a58b990422788183176ce,67ff7b8b42fc75d02c937309,Evening,Auto-generated event for training,67c6383e777903bd129b7eef,4.48
Evening Shift - 2025-05-20,2025-05-20T16:00:00,2025-05-21T00:00:00,681a57199042278818317694|681a57b690422788183176b2,681e6994d464b5ea6ad94276|681e6907d464b5ea6ad94241|681e68b5d464b5ea6ad9422d,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.42
Morning Shift - 2025-05-27,2025-05-27T08:00:00,2025-05-27T16:00:00,67f4546589b1fc291c613160|681a517490a1818ffb8fd392,67ff7b8b42fc75d02c937309,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,3.39
Night Shift - 2025-05-06,2025-05-06T00:00:00,2025-05-06T08:00:00,681a58b990422788183176ce|681a58cd90422788183176d4|681a579090422788183176aa,681e6907d464b5ea6ad94241,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,1.19
Night Shift - 2025-05-27,2025-05-27T00:00:00,2025-05-27T08:00:00,681a57b690422788183176b2|681a58b990422788183176ce|681a524690a1818ffb8fd3a4,681e69d3d464b5ea6ad9429b|681e6994d464b5ea6ad94276|681e697bd464b5ea6ad94272,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.56
Morning Shift - 2025-05-19,2025-05-19T08:00:00,2025-05-19T16:00:00,681a524690a1818ffb8fd3a4|681a517490a1818ffb8fd392|681a577590422788183176a6,67f4401489b1fc291c612c91|681e697bd464b5ea6ad94272,Morning,Auto-generated event for training,67c6383e777903bd129b7eef,4.3
Night Shift - 2025-05-28,2025-05-28T00:00:00,2025-05-28T08:00:00,681a56eb904227881831768e|681a53599042278818317651,681e69a9d464b5ea6ad9427c|67ff7b8b42fc75d02c937309|681e68cbd464b5ea6ad94233,Night,Auto-generated event for training,67c6383e777903bd129b7eef,4.7
Morning Shift - 2025-05-14,2025-05-14T08:00:00,2025-05-14T16:00:00,681a56eb904227881831768e|681a8978d13b7e8433e574a9|681a515d90a1818ffb8fd38e,681a5ad29042278818317702|681e6946d464b5ea6ad94266|681e689ad464b5ea6ad94227,Morning,Auto-generated event for training,67c6383e777903bd129b7eef,4.54
Evening Shift - 2025-05-19,2025-05-19T16:00:00,2025-05-20T00:00:00,681a579090422788183176aa|681a575690422788183176a0,67f4402f89b1fc291c612c97|67cf4b8235b8ba51b0af1285,Evening,Auto-generated event for training,67c6383e777903bd129b7eef,2.62
Night Shift - 2025-05-14,2025-05-14T00:00:00,2025-05-14T08:00:00,681a56eb904227881831768e|681a517490a1818ffb8fd392|681a515d90a1818ffb8fd38e,67f4402f89b1fc291c612c97,Night,Auto-generated event for training,67c6383e777903bd129b7eef,4.64
Morning Shift - 2025-05-09,2025-05-09T08:00:00,2025-05-09T16:00:00,681a53599042278818317651,67f4401489b1fc291c612c91|681a5a6090422788183176f6,Morning,Auto-generated event for training,67c6383e777903bd129b7eef,4.84
Evening Shift - 2025-05-06,2025-05-06T16:00:00,2025-05-07T00:00:00,681a579090422788183176aa,67f4401489b1fc291c612c91,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,4.59
Evening Shift - 2025-05-11,2025-05-11T16:00:00,2025-05-12T00:00:00,681a57b690422788183176b2|67cf4b3435b8ba51b0af1282,67ff7b8b42fc75d02c937309|67f4402f89b1fc291c612c97|681e6930d464b5ea6ad94260,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,4.24
Morning Shift - 2025-05-19,2025-05-19T08:00:00,2025-05-19T16:00:00,681a8935d13b7e8433e574a1|681a57e490422788183176b8,681e69a9d464b5ea6ad9427c|681e6907d464b5ea6ad94241,Morning,Auto-generated event for training,67c6383e777903bd129b7eef,1.86
Morning Shift - 2025-05-06,2025-05-06T08:00:00,2025-05-06T16:00:00,681a575690422788183176a0|681a524690a1818ffb8fd3a4|681a57199042278818317694,681e69d3d464b5ea6ad9429b|681e689ad464b5ea6ad94227,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,4.58
Night Shift - 2025-05-26,2025-05-26T00:00:00,2025-05-26T08:00:00,681a58cd90422788183176d4|67cf4b3435b8ba51b0af1282,681e6907d464b5ea6ad94241|681a590590422788183176dc,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.61
Evening Shift - 2025-05-09,2025-05-09T16:00:00,2025-05-10T00:00:00,681a57e490422788183176b8|681a514390a1818ffb8fd388,681e68edd464b5ea6ad9423b|67ff8a6715b50eb09c14b762|67cf4b8235b8ba51b0af1285,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,3.08
Evening Shift - 2025-05-07,2025-05-07T16:00:00,2025-05-08T00:00:00,681a58b990422788183176ce|681a512190a1818ffb8fd382|681a56eb904227881831768e,681e68b5d464b5ea6ad9422d,Evening,Auto-generated event for training,67c6383e777903bd129b7eef,1.84
Night Shift - 2025-05-08,2025-05-08T00:00:00,2025-05-08T08:00:00,67f4546589b1fc291c613160,67cf4b8235b8ba51b0af1285|681e6946d464b5ea6ad94266|67f4401489b1fc291c612c91,Night,Auto-generated event for training,67c6383e777903bd129b7eef,1.15
Morning Shift - 2025-05-11,2025-05-11T08:00:00,2025-05-11T16:00:00,681a57199042278818317694,681e69a9d464b5ea6ad9427c|681e68cbd464b5ea6ad94233|67cf4b8235b8ba51b0af1285,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,3.0
Night Shift - 2025-05-08,2025-05-08T00:00:00,2025-05-08T08:00:00,681a56eb904227881831768e|681a8935d13b7e8433e574a1|681a57b690422788183176b2,67f4401489b1fc291c612c91|681e689ad464b5ea6ad94227|681a5a6090422788183176f6,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,3.83
Night Shift - 2025-05-16,2025-05-16T00:00:00,2025-05-16T08:00:00,67f43ff589b1fc291c612c8b|67ff7abe42fc75d02c9372ed|681a512190a1818ffb8fd382,681e69a9d464b5ea6ad9427c,Night,Auto-generated event for training,67c6383e777903bd129b7eef,2.13
Night Shift - 2025-05-16,2025-05-16T00:00:00,2025-05-16T08:00:00,67cf4b3435b8ba51b0af1282|681a57199042278818317694,681e69d3d464b5ea6ad9429b|681e697bd464b5ea6ad94272,Night,Auto-generated event for training,67c6383e777903bd129b7eef,2.55
Night Shift - 2025-05-24,2025-05-24T00:00:00,2025-05-24T08:00:00,67f43cf889b1fc291c612c53|67f43ff589b1fc291c612c8b,681e6907d464b5ea6ad94241|67f4401489b1fc291c612c91,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.91
Morning Shift - 2025-05-18,2025-05-18T08:00:00,2025-05-18T16:00:00,681a58cd90422788183176d4,681a5ad29042278818317702|681e68edd464b5ea6ad9423b,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.17
Evening Shift - 2025-05-11,2025-05-11T16:00:00,2025-05-12T00:00:00,681a517490a1818ffb8fd392|681a577590422788183176a6,681e69a9d464b5ea6ad9427c|681e6930d464b5ea6ad94260|681e69d3d464b5ea6ad9429b,Evening,Auto-generated event for training,67c6383e777903bd129b7eef,2.69
Morning Shift - 2025-05-19,2025-05-19T08:00:00,2025-05-19T16:00:00,681a524690a1818ffb8fd3a4|681a57fd90422788183176be,681e697bd464b5ea6ad94272|67ff8a6715b50eb09c14b762|681e68b5d464b5ea6ad9422d,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.42
Evening Shift - 2025-05-18,2025-05-18T16:00:00,2025-05-19T00:00:00,681a575690422788183176a0|67f43ff589b1fc291c612c8b,67cf4b8235b8ba51b0af1285,Evening,Auto-generated event for training,67c6383e777903bd129b7eef,3.0
Night Shift - 2025-05-20,2025-05-20T00:00:00,2025-05-20T08:00:00,681a577590422788183176a6|681a512190a1818ffb8fd382|681a8978d13b7e8433e574a9,67cf4b8235b8ba51b0af1285|681e68cbd464b5ea6ad94233,Night,Auto-generated event for training,67c6383e777903bd129b7eef,4.58
Morning Shift - 2025-05-06,2025-05-06T08:00:00,2025-05-06T16:00:00,681a57e490422788183176b8|681a577590422788183176a6|681a8935d13b7e8433e574a1,681e6946d464b5ea6ad94266,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,3.16
Morning Shift - 2025-05-22,2025-05-22T08:00:00,2025-05-22T16:00:00,681a579090422788183176aa|681a8978d13b7e8433e574a9,681e69d3d464b5ea6ad9429b|681e6946d464b5ea6ad94266|681e689ad464b5ea6ad94227,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,3.36
Evening Shift - 2025-05-11,2025-05-11T16:00:00,2025-05-12T00:00:00,67f4546589b1fc291c613160|681a515d90a1818ffb8fd38e,681a5a6090422788183176f6,Evening,Auto-generated event for training,67c6383e777903bd129b7eef,1.82
Evening Shift - 2025-05-20,2025-05-20T16:00:00,2025-05-21T00:00:00,681a514390a1818ffb8fd388|681a53599042278818317651,681a590590422788183176dc|681e695dd464b5ea6ad9426c,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.42
Evening Shift - 2025-05-09,2025-05-09T16:00:00,2025-05-10T00:00:00,681a58cd90422788183176d4|67ff7abe42fc75d02c9372ed|67cf4b3435b8ba51b0af1282,681e68b5d464b5ea6ad9422d|67ff7b8b42fc75d02c937309|681e68edd464b5ea6ad9423b,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,1.57
Morning Shift - 2025-05-06,2025-05-06T08:00:00,2025-05-06T16:00:00,67f43cf889b1fc291c612c53|681a53599042278818317651|681a57fd90422788183176be,681e6946d464b5ea6ad94266|681a5a6090422788183176f6|681e695dd464b5ea6ad9426c,Morning,Auto-generated event for training,67c6383e777903bd129b7eef,1.22
Evening Shift - 2025-05-04,2025-05-04T16:00:00,2025-05-05T00:00:00,681a577590422788183176a6,681e697bd464b5ea6ad94272|681e6994d464b5ea6ad94276,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,4.03
Night Shift - 2025-05-12,2025-05-12T00:00:00,2025-05-12T08:00:00,67cf4b3435b8ba51b0af1282|681a524690a1818ffb8fd3a4|681a514390a1818ffb8fd388,681a5a6090422788183176f6|681e69d3d464b5ea6ad9429b,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,3.8
Evening Shift - 2025-05-06,2025-05-06T16:00:00,2025-05-07T00:00:00,681a57e490422788183176b8,681a590590422788183176dc|681e68b5d464b5ea6ad9422d,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,3.23
Morning Shift - 2025-05-26,2025-05-26T08:00:00,2025-05-26T16:00:00,681a57fd90422788183176be|681a515d90a1818ffb8fd38e|681a524690a1818ffb8fd3a4,681e697bd464b5ea6ad94272|681e68cbd464b5ea6ad94233,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,3.75
Morning Shift - 2025-05-28,2025-05-28T08:00:00,2025-05-28T16:00:00,681a58cd90422788183176d4|681a579090422788183176aa|681a58b990422788183176ce,681a5ad29042278818317702|67ff7b8b42fc75d02c937309|681a5a6090422788183176f6,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.26
Morning Shift - 2025-05-19,2025-05-19T08:00:00,2025-05-19T16:00:00,681a515d90a1818ffb8fd38e,681e69a9d464b5ea6ad9427c|67f4402f89b1fc291c612c97,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,4.87
Evening Shift - 2025-05-28,2025-05-28T16:00:00,2025-05-29T00:00:00,681a515d90a1818ffb8fd38e|681a56eb904227881831768e|681a57b690422788183176b2,681e697bd464b5ea6ad94272|681e689ad464b5ea6ad94227,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,4.05
Evening Shift - 2025-05-17,2025-05-17T16:00:00,2025-05-18T00:00:00,681a8978d13b7e8433e574a9|681a57199042278818317694|681a58cd90422788183176d4,681a590590422788183176dc|681e69d3d464b5ea6ad9429b,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.18
Morning Shift - 2025-05-03,2025-05-03T08:00:00,2025-05-03T16:00:00,681a517490a1818ffb8fd392|681a512190a1818ffb8fd382|67cf4b3435b8ba51b0af1282,681e68cbd464b5ea6ad94233|681e68b5d464b5ea6ad9422d,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.28
Night Shift - 2025-05-18,2025-05-18T00:00:00,2025-05-18T08:00:00,681a517490a1818ffb8fd392|681a57fd90422788183176be,67ff8a6715b50eb09c14b762|67f4402f89b1fc291c612c97|681e6930d464b5ea6ad94260,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.53
Morning Shift - 2025-05-08,2025-05-08T08:00:00,2025-05-08T16:00:00,681a57199042278818317694,681e6946d464b5ea6ad94266|67ff7b8b42fc75d02c937309|67cf4b8235b8ba51b0af1285,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.34
Night Shift - 2025-05-25,2025-05-25T00:00:00,2025-05-25T08:00:00,681a53599042278818317651,681e68edd464b5ea6ad9423b|681a5ad29042278818317702|681e689ad464b5ea6ad94227,Night,Auto-generated event for training,67c6383e777903bd129b7eef,4.41
Morning Shift - 2025-05-20,2025-05-20T08:00:00,2025-05-20T16:00:00,681a58cd90422788183176d4|681a579090422788183176aa,681e6930d464b5ea6ad94260|681e68b5d464b5ea6ad9422d|681e6907d464b5ea6ad94241,Morning,Auto-generated event for training,67c6383e777903bd129b7eef,2.04
Night Shift - 2025-05-27,2025-05-27T00:00:00,2025-05-27T08:00:00,67f4546589b1fc291c613160,681a590590422788183176dc,Night,Auto-generated event for training,67c6383e777903bd129b7eef,2.14
Night Shift - 2025-05-06,2025-05-06T00:00:00,2025-05-06T08:00:00,67cf4b3435b8ba51b0af1282,681e6907d464b5ea6ad94241|681e689ad464b5ea6ad94227|67f4402f89b1fc291c612c97,Night,Auto-generated event for training,67c6383e777903bd129b7eef,4.91
Morning Shift - 2025-05-21,2025-05-21T08:00:00,2025-05-21T16:00:00,681a579090422788183176aa,681e6946d464b5ea6ad94266|67ff7b8b42fc75d02c937309|681e6994d464b5ea6ad94276,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,4.93
Night Shift - 2025-05-08,2025-05-08T00:00:00,2025-05-08T08:00:00,681a512190a1818ffb8fd382,681e6930d464b5ea6ad94260|67ff7b8b42fc75d02c937309|681e697bd464b5ea6ad94272,Night,Auto-generated event for training,67c6383e777903bd129b7eef,3.4
Evening Shift - 2025-05-16,2025-05-16T16:00:00,2025-05-17T00:00:00,681a58cd90422788183176d4,681e6930d464b5ea6ad94260,Evening,Auto-generated event for training,67c6383e777903bd129b7eef,1.56
Night Shift - 2025-05-08,2025-05-08T00:00:00,2025-05-08T08:00:00,681a524690a1818ffb8fd3a4,681a5ad29042278818317702|681e6930d464b5ea6ad94260|681e68cbd464b5ea6ad94233,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,3.11
Morning Shift - 2025-05-01,2025-05-01T08:00:00,2025-05-01T16:00:00,681a8935d13b7e8433e574a1,67f4401489b1fc291c612c91,Morning,Auto-generated event for training,67c6383e777903bd129b7eef,3.49
Evening Shift - 2025-05-06,2025-05-06T16:00:00,2025-05-07T00:00:00,681a58b990422788183176ce,681e68cbd464b5ea6ad94233|681e689ad464b5ea6ad94227|681e6907d464b5ea6ad94241,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,3.34
Evening Shift - 2025-05-14,2025-05-14T16:00:00,2025-05-15T00:00:00,67f43ff589b1fc291c612c8b|681a575690422788183176a0|681a57fd90422788183176be,681e6930d464b5ea6ad94260|681e69a9d464b5ea6ad9427c|681e6907d464b5ea6ad94241,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.25
Evening Shift - 2025-05-15,2025-05-15T16:00:00,2025-05-16T00:00:00,681a56eb904227881831768e,681e68edd464b5ea6ad9423b|67f4402f89b1fc291c612c97|67ff8a6715b50eb09c14b762,Evening,Auto-generated event for training,67c6383e777903bd129b7eef,1.97
Night Shift - 2025-05-19,2025-05-19T00:00:00,2025-05-19T08:00:00,681a524690a1818ffb8fd3a4|681a57fd90422788183176be,681a5ad29042278818317702|67f4402f89b1fc291c612c97,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.12
Night Shift - 2025-05-02,2025-05-02T00:00:00,2025-05-02T08:00:00,681a579090422788183176aa|67cf4b3435b8ba51b0af1282,67cf4b8235b8ba51b0af1285,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,3.74
Morning Shift - 2025-05-09,2025-05-09T08:00:00,2025-05-09T16:00:00,681a57e490422788183176b8|681a514390a1818ffb8fd388,681a5ad29042278818317702|681e6907d464b5ea6ad94241,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,4.2
Night Shift - 2025-05-07,2025-05-07T00:00:00,2025-05-07T08:00:00,681a577590422788183176a6,67cf4b8235b8ba51b0af1285|681e697bd464b5ea6ad94272,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.11
Morning Shift - 2025-05-13,2025-05-13T08:00:00,2025-05-13T16:00:00,67f43cf889b1fc291c612c53|681a58cd90422788183176d4,681a5ad29042278818317702|681e697bd464b5ea6ad94272,Morning,Auto-generated event for training,67c6383e777903bd129b7eef,2.42
Night Shift - 2025-05-12,2025-05-12T00:00:00,2025-05-12T08:00:00,681a579090422788183176aa|67cf4b3435b8ba51b0af1282|67f43cf889b1fc291c612c53,681e6930d464b5ea6ad94260|681e695dd464b5ea6ad9426c|681e68b5d464b5ea6ad9422d,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,1.86
Night Shift - 2025-05-19,2025-05-19T00:00:00,2025-05-19T08:00:00,681a514390a1818ffb8fd388,67cf4b8235b8ba51b0af1285|681e68b5d464b5ea6ad9422d|681a5ad29042278818317702,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.4
Night Shift - 2025-05-08,2025-05-08T00:00:00,2025-05-08T08:00:00,681a579090422788183176aa|681a515d90a1818ffb8fd38e|681a56eb904227881831768e,67f4401489b1fc291c612c91|681e68cbd464b5ea6ad94233,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,3.09
Morning Shift - 2025-05-19,2025-05-19T08:00:00,2025-05-19T16:00:00,681a57fd90422788183176be|681a512190a1818ffb8fd382|67ff7abe42fc75d02c9372ed,67ff8a6715b50eb09c14b762,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,4.79
Night Shift - 2025-05-11,2025-05-11T00:00:00,2025-05-11T08:00:00,681a524690a1818ffb8fd3a4|681a57fd90422788183176be,67f4401489b1fc291c612c91,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.57
Night Shift - 2025-05-08,2025-05-08T00:00:00,2025-05-08T08:00:00,681a8978d13b7e8433e574a9|681a524690a1818ffb8fd3a4,681e68edd464b5ea6ad9423b|681e6994d464b5ea6ad94276|681e69a9d464b5ea6ad9427c,Night,Auto-generated event for training,67c6383e777903bd129b7eef,2.49
Night Shift - 2025-05-07,2025-05-07T00:00:00,2025-05-07T08:00:00,681a57e490422788183176b8|681a512190a1818ffb8fd382,681e69d3d464b5ea6ad9429b|67cf4b8235b8ba51b0af1285,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.18
Morning Shift - 2025-05-13,2025-05-13T08:00:00,2025-05-13T16:00:00,681a517490a1818ffb8fd392|681a524690a1818ffb8fd3a4|681a577590422788183176a6,681e68edd464b5ea6ad9423b,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,4.06
Morning Shift - 2025-05-21,2025-05-21T08:00:00,2025-05-21T16:00:00,681a577590422788183176a6|681a8978d13b7e8433e574a9|681a53599042278818317651,681e69d3d464b5ea6ad9429b|67f4402f89b1fc291c612c97|681e68cbd464b5ea6ad94233,Morning,Auto-generated event for training,67c6383e777903bd129b7eef,4.24
Night Shift - 2025-05-12,2025-05-12T00:00:00,2025-05-12T08:00:00,67f43cf889b1fc291c612c53|67cf4b3435b8ba51b0af1282,681e6994d464b5ea6ad94276,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,3.62
Morning Shift - 2025-05-19,2025-05-19T08:00:00,2025-05-19T16:00:00,67f43ff589b1fc291c612c8b|681a575690422788183176a0,681e6994d464b5ea6ad94276,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,3.47
Night Shift - 2025-05-01,2025-05-01T00:00:00,2025-05-01T08:00:00,681a58cd90422788183176d4|681a57199042278818317694,681a5ad29042278818317702|681e697bd464b5ea6ad94272|681e6994d464b5ea6ad94276,Night,Auto-generated event for training,67c6383e777903bd129b7eef,1.64
Night Shift - 2025-05-17,2025-05-17T00:00:00,2025-05-17T08:00:00,681a579090422788183176aa,67f4401489b1fc291c612c91,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.05
Morning Shift - 2025-05-12,2025-05-12T08:00:00,2025-05-12T16:00:00,67f43cf889b1fc291c612c53,681e6930d464b5ea6ad94260|681a590590422788183176dc|67ff7b8b42fc75d02c937309,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.11
Night Shift - 2025-05-27,2025-05-27T00:00:00,2025-05-27T08:00:00,67f4546589b1fc291c613160,681e68b5d464b5ea6ad9422d|681e69d3d464b5ea6ad9429b|681e6946d464b5ea6ad94266,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.77
Morning Shift - 2025-05-17,2025-05-17T08:00:00,2025-05-17T16:00:00,67cf4b3435b8ba51b0af1282|681a58b990422788183176ce,67f4402f89b1fc291c612c97,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.75
Evening Shift - 2025-05-12,2025-05-12T16:00:00,2025-05-13T00:00:00,681a57199042278818317694,681e68edd464b5ea6ad9423b|681e6946d464b5ea6ad94266,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,1.52
Morning Shift - 2025-05-09,2025-05-09T08:00:00,2025-05-09T16:00:00,681a577590422788183176a6,67f4402f89b1fc291c612c97|681e69a9d464b5ea6ad9427c|681e689ad464b5ea6ad94227,Morning,Auto-generated event for training,67c6383e777903bd129b7eef,3.63
Night Shift - 2025-05-25,2025-05-25T00:00:00,2025-05-25T08:00:00,681a57b690422788183176b2|681a515d90a1818ffb8fd38e|681a56eb904227881831768e,681e6907d464b5ea6ad94241|681e69d3d464b5ea6ad9429b|681e69a9d464b5ea6ad9427c,Night,Auto-generated event for training,67c6383e777903bd129b7eef,1.58
Night Shift - 2025-05-18,2025-05-18T00:00:00,2025-05-18T08:00:00,681a53599042278818317651,681e68b5d464b5ea6ad9422d,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,4.45
